Dates,variable,feature_no,feature_name,value
28/11/18 00:00,2,357,"480,32",
29/11/18 00:00,2,357,"480,32",
30/11/18 00:00,2,357,"480,32",
01/10/17 00:00,3,356,"2262,52",
02/10/17 00:00,3,356,"2262,52",
03/10/17 00:00,3,356,"2262,52",
04/10/17 00:00,3,356,"2262,52",
05/10/17 00:00,3,356,"2262,52",
06/10/17 00:00,3,356,"2262,52",
07/10/17 00:00,3,356,"2262,52",
08/10/17 00:00,3,356,"2262,52","556,18"
09/10/17 00:00,3,356,"2262,52",
10/10/17 00:00,3,356,"2262,52","116,32"
11/10/17 00:00,3,356,"2262,52",
12/10/17 00:00,3,356,"2262,52","737,96"
13/10/17 00:00,3,356,"2262,52",
14/10/17 00:00,3,356,"2262,52","232,64"
15/10/17 00:00,3,356,"2262,52",
16/10/17 00:00,3,356,"2262,52",
17/10/17 00:00,3,356,"2262,52",
18/10/17 00:00,3,356,"2262,52",
19/10/17 00:00,3,356,"2262,52",
20/10/17 00:00,3,356,"2262,52",
21/10/17 00:00,3,356,"2262,52",
22/10/17 00:00,3,356,"2262,52",
23/10/17 00:00,3,356,"2262,52",
24/10/17 00:00,3,356,"2262,52",
25/10/17 00:00,3,356,"2262,52",
26/10/17 00:00,3,356,"2262,52",
27/10/17 00:00,3,356,"2262,52",
28/10/17 00:00,3,356,"2262,52","696,72"
29/10/17 00:00,3,356,"2262,52",
30/10/17 00:00,3,356,"2262,52",
31/10/17 00:00,3,356,"2262,52",
01/11/17 00:00,3,356,"2262,52",
02/11/17 00:00,3,356,"2262,52",
03/11/17 00:00,3,356,"2262,52",
04/11/17 00:00,3,356,"2262,52",
05/11/17 00:00,3,356,"2262,52",
06/11/17 00:00,3,356,"2262,52",
07/11/17 00:00,3,356,"2262,52",
08/11/17 00:00,3,356,"2262,52",
09/11/17 00:00,3,356,"2262,52",
10/11/17 00:00,3,356,"2262,52",
11/11/17 00:00,3,356,"2262,52",
12/11/17 00:00,3,356,"2262,52",
13/11/17 00:00,3,356,"2262,52",
14/11/17 00:00,3,356,"2262,52",
15/11/17 00:00,3,356,"2262,52",
16/11/17 00:00,3,356,"2262,52",
17/11/17 00:00,3,356,"2262,52",
18/11/17 00:00,3,356,"2262,52",
19/11/17 00:00,3,356,"2262,52",
20/11/17 00:00,3,356,"2262,52",
21/11/17 00:00,3,356,"2262,52",
22/11/17 00:00,3,356,"2262,52",
23/11/17 00:00,3,356,"2262,52",
24/11/17 00:00,3,356,"2262,52",
25/11/17 00:00,3,356,"2262,52",
26/11/17 00:00,3,356,"2262,52",551
27/11/17 00:00,3,356,"2262,52",
28/11/17 00:00,3,356,"2262,52",
29/11/17 00:00,3,356,"2262,52",
30/11/17 00:00,3,356,"2262,52",
01/10/18 00:00,3,356,"2262,52",
02/10/18 00:00,3,356,"2262,52",
03/10/18 00:00,3,356,"2262,52",
04/10/18 00:00,3,356,"2262,52",
05/10/18 00:00,3,356,"2262,52",
06/10/18 00:00,3,356,"2262,52",
07/10/18 00:00,3,356,"2262,52",
08/10/18 00:00,3,356,"2262,52",
09/10/18 00:00,3,356,"2262,52",
10/10/18 00:00,3,356,"2262,52",
11/10/18 00:00,3,356,"2262,52",
12/10/18 00:00,3,356,"2262,52","410,36"
13/10/18 00:00,3,356,"2262,52",189
14/10/18 00:00,3,356,"2262,52",
15/10/18 00:00,3,356,"2262,52",
16/10/18 00:00,3,356,"2262,52",
17/10/18 00:00,3,356,"2262,52",
18/10/18 00:00,3,356,"2262,52",
19/10/18 00:00,3,356,"2262,52",
20/10/18 00:00,3,356,"2262,52",
21/10/18 00:00,3,356,"2262,52",
22/10/18 00:00,3,356,"2262,52",
23/10/18 00:00,3,356,"2262,52",
24/10/18 00:00,3,356,"2262,52",
25/10/18 00:00,3,356,"2262,52",
26/10/18 00:00,3,356,"2262,52",
27/10/18 00:00,3,356,"2262,52",
28/10/18 00:00,3,356,"2262,52",
29/10/18 00:00,3,356,"2262,52",
30/10/18 00:00,3,356,"2262,52",
31/10/18 00:00,3,356,"2262,52",
01/11/18 00:00,3,356,"2262,52",
02/11/18 00:00,3,356,"2262,52",
03/11/18 00:00,3,356,"2262,52",
04/11/18 00:00,3,356,"2262,52",
05/11/18 00:00,3,356,"2262,52",
06/11/18 00:00,3,356,"2262,52",
07/11/18 00:00,3,356,"2262,52",
08/11/18 00:00,3,356,"2262,52",
09/11/18 00:00,3,356,"2262,52",
10/11/18 00:00,3,356,"2262,52",
11/11/18 00:00,3,356,"2262,52",
12/11/18 00:00,3,356,"2262,52",
13/11/18 00:00,3,356,"2262,52",
14/11/18 00:00,3,356,"2262,52",
15/11/18 00:00,3,356,"2262,52",
16/11/18 00:00,3,356,"2262,52",
17/11/18 00:00,3,356,"2262,52",
18/11/18 00:00,3,356,"2262,52",
19/11/18 00:00,3,356,"2262,52",
20/11/18 00:00,3,356,"2262,52",
21/11/18 00:00,3,356,"2262,52",
22/11/18 00:00,3,356,"2262,52",
23/11/18 00:00,3,356,"2262,52",
24/11/18 00:00,3,356,"2262,52",
25/11/18 00:00,3,356,"2262,52",
26/11/18 00:00,3,356,"2262,52",
27/11/18 00:00,3,356,"2262,52",
28/11/18 00:00,3,356,"2262,52",
29/11/18 00:00,3,356,"2262,52",
30/11/18 00:00,3,356,"2262,52",
01/10/17 00:00,4,355,,"222,02"
02/10/17 00:00,4,355,,
03/10/17 00:00,4,355,,
04/10/17 00:00,4,355,,
05/10/17 00:00,4,355,,"254,06"
06/10/17 00:00,4,355,,"1854,5"
07/10/17 00:00,4,355,,"1268,92"
08/10/17 00:00,4,355,,"2846,17"
09/10/17 00:00,4,355,,"1237,24"
10/10/17 00:00,4,355,,"275,32"
11/10/17 00:00,4,355,,
12/10/17 00:00,4,355,,
13/10/17 00:00,4,355,,
14/10/17 00:00,4,355,,"764,6"
15/10/17 00:00,4,355,,"1317,96"
16/10/17 00:00,4,355,,"116,32"
17/10/17 00:00,4,355,,
18/10/17 00:00,4,355,,
19/10/17 00:00,4,355,,
20/10/17 00:00,4,355,,"157,06"
21/10/17 00:00,4,355,,"288,2"
22/10/17 00:00,4,355,,"428,32"
23/10/17 00:00,4,355,,"518,89"
24/10/17 00:00,4,355,,
25/10/17 00:00,4,355,,"176,78"
26/10/17 00:00,4,355,,
27/10/17 00:00,4,355,,
28/10/17 00:00,4,355,,"303,01"
29/10/17 00:00,4,355,,"862,34"
30/10/17 00:00,4,355,,"225,04"
31/10/17 00:00,4,355,,"750,3"
01/11/17 00:00,4,355,,
02/11/17 00:00,4,355,,"1660,7"
03/11/17 00:00,4,355,,"587,48"
04/11/17 00:00,4,355,,
05/11/17 00:00,4,355,,
06/11/17 00:00,4,355,,
07/11/17 00:00,4,355,,
08/11/17 00:00,4,355,,
09/11/17 00:00,4,355,,
10/11/17 00:00,4,355,,
11/11/17 00:00,4,355,,
12/11/17 00:00,4,355,,
13/11/17 00:00,4,355,,
14/11/17 00:00,4,355,,
